counter,WellID,meanError,minError,maxError,#samples,delta
287,1615,4.5301,0.4286,8.7144,14,0.3235785714
380,2051,5.5147,0.7614,17.8702,17,0.3243941176
289,872,4.5517,1.3135,8.6991,14,0.3251214286
382,1612,5.5304,0.5546,8.9323,17,0.3253176471
228,1538,3.9046,0.6592,8.3058,12,0.3253833333
229,1266,3.9066,0.2836,11.7978,12,0.32555
108,1866,2.6082,0.221,4.9371,8,0.326025
317,2002,4.8915,2.3379,7.4905,15,0.3261
408,488,5.8924,0.4187,15.5667,18,0.3273555556
257,1388,4.2639,0.0615,12.6828,13,0.3279923077
467,112,6.5651,1.9376,10.1843,20,0.328255
132,2112,2.9559,0.6568,6.7287,9,0.3284333333
501,1312,6.9132,0.0143,16.2513,21,0.3292
359,206,5.3173,0.0089,18.6111,16,0.33233125
322,674,4.989,0.1719,7.8014,15,0.3326
360,1064,5.3228,1.3413,10.8763,16,0.332675
323,2129,4.9903,1.1068,13.9147,15,0.3326866667
297,1757,4.6748,0.6636,10.2712,14,0.3339142857
298,605,4.6857,0.9515,7.4641,14,0.3346928571
328,87,5.0368,2.3997,7.9621,15,0.3357866667
329,1998,5.0383,3.134,8.0363,15,0.3358866667
212,618,3.6968,0.3387,9.3764,11,0.3360727273
399,392,5.7277,0.1114,13.5444,17,0.3369235294
368,2539,5.4044,0.1945,12.2978,16,0.337775
334,1746,5.0763,1.2077,8.1312,15,0.33842
335,1650,5.088,0.2489,8.8941,15,0.3392
304,1685,4.7572,0.2663,19.7943,14,0.3398
305,1462,4.7644,2.3248,12.5364,14,0.3403142857
455,790,6.4738,1.7535,10.3475,19,0.3407263158
373,880,5.4634,1.2398,14.1794,16,0.3414625
493,1558,6.8387,2.1256,10.4839,20,0.341935
219,1791,3.7666,1.4992,5.8685,11,0.3424181818
342,1725,5.1419,0.1392,9.8825,15,0.3427933333
311,803,4.8018,0.265,9.7392,14,0.3429857143
432,2056,6.1998,3.8169,8.8056,18,0.3444333333
346,497,5.1912,1.9407,11.1022,15,0.34608
313,332,4.8456,0.7887,10.3244,14,0.3461142857
347,23,5.2091,0.625,14.0959,15,0.3472733333
386,1811,5.5614,0.2588,12.3282,16,0.3475875
350,2105,5.2186,2.305,10.8696,15,0.3479066667
475,687,6.6846,3.3384,13.8457,19,0.3518210526
